vehicle_id,year,make,model,state,asking_price,mileage,experiment_group,acquired,style_id
2764896,2013,Porsche,Panamera,MO,43999,43151,B,no,793570
2052502,2013,Porsche,Panamera,CA,46995,56616,A,yes,797780
2835342,2013,Porsche,Panamera,NY,49950,39818,A,no,791038
2970294,2013,Porsche,Panamera,OH,33892,80423,B,no,797780
2697806,2013,Porsche,Panamera,MD,42731,27034,A,no,794253
2549214,2013,Porsche,Panamera,NY,79995,9685,B,no,796325
2500545,2013,Porsche,Panamera,IL,76000,27780,A,yes,791038
2099756,2013,Porsche,Panamera,CA,52998,54000,B,no,794253
2918902,2013,Porsche,Panamera,MA,59998,28347,B,yes,794253
2494942,2013,Porsche,Panamera,MI,56500,33594,B,yes,797780
2982983,2013,Porsche,Boxster,OK,34900,21055,A,yes,794409
2064588,2013,Porsche,Boxster,LA,39899,20648,A,yes,796882
2505119,2013,Porsche,Boxster,FL,37998,22000,A,yes,793899
2471867,2013,Porsche,Boxster,IL,40500,16913,A,no,790025
2557608,2013,Porsche,Boxster,FL,34999,38150,A,no,794409
2118855,2013,Porsche,Boxster,PA,40000,31515,B,yes,796882
2770182,2013,Porsche,Boxster,NJ,36300,51957,B,yes,793899
2607325,2013,Porsche,Boxster,VA,34600,49977,B,no,799669
2334209,2013,Porsche,Boxster,MA,37998,15192,A,yes,790025
2335726,2013,Porsche,Boxster,CA,39982,29429,A,no,796882
2789518,2013,Porsche,Boxster,CA,37788,25941,B,yes,797093
2909170,2013,Porsche,Boxster,FL,48465,14997,B,no,796882
2362654,2013,Porsche,Boxster,SC,53688,8601,B,no,797093
2962797,2013,Porsche,Boxster,MA,49998,17371,A,yes,794409
2848053,2013,Porsche,Boxster,IL,49000,15732,A,yes,796882
2477157,2013,Porsche,Boxster,GA,44950,42929,A,no,790025
2934792,2013,Porsche,Boxster,CT,47490,14405,B,no,794409
2817903,2013,Porsche,911,CA,69900,12622,B,yes,791462
2627268,2013,Porsche,911,FL,55998,50000,B,yes,791462
2533155,2013,Porsche,911,MA,67800,8977,A,no,796516
2880523,2013,Porsche,911,NV,63998,12000,A,yes,796516
2459608,2013,Porsche,911,TX,56998,43000,B,no,792043
2328833,2013,Porsche,911,PA,67899,16612,A,no,792043
2208005,2013,Porsche,911,PA,66993,25234,A,no,791462
2567355,2013,Porsche,911,WA,71988,31192,A,no,796516
2701166,2013,Porsche,911,MA,77875,19846,A,yes,799878
2061939,2013,Porsche,911,CA,71898,39295,A,yes,791080
2848507,2013,Porsche,911,CA,73994,28200,B,yes,797182
2631959,2013,Porsche,911,CA,74991,31868,B,no,799878
2466680,2013,Porsche,911,FL,66998,46000,B,yes,797182
2124452,2013,Porsche,911,ID,82995,9990,B,no,796516
2873141,2013,Porsche,911,SC,67997,43867,B,yes,797182
2886499,2013,Porsche,911,WA,63795,58015,A,yes,791080
2122792,2013,Porsche,911,PA,74500,34951,B,no,791080
2238964,2013,Porsche,911,PA,84991,8856,A,no,792043
2009158,2013,Porsche,911,FL,76287,9163,B,no,796516
2433988,2013,Porsche,911,FL,81333,18040,A,yes,797182
2128675,2013,Porsche,911,CALIFORNIA,72649,34179,A,yes,791080
2845463,2013,Porsche,911,CA,71900,41297,B,no,791080
2569927,2013,Porsche,911,MO,76991,29181,B,no,791462
2378272,2013,Porsche,911,CA,84990,14119,B,yes,791080
2770516,2013,Porsche,911,CA,60000,70828,A,no,796516
2972152,2013,Porsche,911,IL,62000,32328,A,no,797182
2203508,2013,Porsche,911,CA,67500,25082,B,no,791080
2161795,2013,Porsche,911,FL,69991,23157,B,no,797182
2609241,2013,Porsche,911,FL,69848,17505,B,no,792043
2067011,2013,Porsche,911,CA,62881,46415,A,no,791462
2514856,2013,Porsche,911,SC,69983,29026,A,yes,792043
2561995,2013,Porsche,911,CT,84900,29036,B,yes,792043
2369670,2013,Porsche,911,FL,74900,32082,A,no,796516
2067283,2013,Porsche,911,FL,74900,35335,A,no,791462
2131023,2013,Porsche,911,TN,83988,15770,B,yes,791462
2250878,2013,Porsche,911,IL,72000,42988,B,yes,799878
2367428,2013,Porsche,911,FL,80219,18030,A,yes,792043
2652091,2013,Porsche,911,CA,73000,25540,B,no,792043
2736036,2013,Porsche,911,RI,74590,23072,A,no,796516
2440594,2013,Porsche,911,CA,74780,34539,B,yes,792043
2503430,2013,Porsche,911,FL,87865,5564,B,yes,797182
2001651,2013,Porsche,911,FL,84950,12541,B,yes,791080
2866127,2013,Porsche,911,NC,84885,22879,B,yes,791462
